age;know
80;2
34;3
39;3
43;3
24;4
38;4
40;9
40;9
57;4
37;3
55;9
24;9
55;2
22;2
49;3
24;4
55;3
25;4
26;3
52;3
58;3
24;3
56;9
29;4
31;4
40;4
33;2
55;2
57;1
63;1
38;1
74;1
25;1
54;2
48;1
34;2
19;1
30;2
77;2
55;2
38;1
23;2
60;2
41;2
17; 
51;2
45;2
35;2
25;2
58;2
40;2
39;4
29;2
24;4
77;3
24;4
59;3
70;3
58;3
75;3
90;3
52;3
36;2
38;3
38;2
21;4
45;3
43;2
25;3
43;2
24;3
55;2
61;2
57;3
32;2
33;4
54;3
70;3
45;2
24;4
24;4
66;3
21;4
32;3
53;3
78;3
68;3
35;2
68;2
51;2
40;4
44;3
56;3
57;4
32;4
20;2
38;3
33;2
40;2
62;3
16; 
39;3
41;3
52;3
78;3
18;1
73;3
26;3
46;2
43;3
30;3
36;1
16; 
55;4
24;2
52;3
62;2
79;3
53;3
30;2
28;3
16; 
64;2
31;3
42;4
25;3
23;3
41;4
59;4
55;2
25;4
58;9
28;3
55;1
56;3
31;4
35;3
37;4
80;3
61;3
52;3
43;3
75;3
52;1
36;3
37;3
20;4
77;4
16; 
58;2
18;4
41;4
55;4
39;4
38;3
72;3
35;4
66;4
45;4
45;3
78;3
62;3
67;3
27;2
33;3
52;3
44;3
23;3
23;3
29;4
44;4
56;4
28;3
27;4
24;4
44;4
58;3
73;4
22;3
23;3
80;4
26;3
60;3
33;4
32;3
53;4
49;3
62;4
31;4
56;3
75;9
24;2
51;3
25;3
32;2
34;3
62;3
53;4
73;3
23;2
55;2
40;2
39;3
66;2
24;3
75;1
27;2
53;3
17; 
29;3
30;3
48;3
63;2
66;2
52;3
27;4
38;2
53;3
79;3
87;3
22;4
49;4
28;2
19;2
30;2
21;1
51;3
68;3
57;2
26;2
26;4
47;3
16; 
63;3
21;3
33;2
50;2
65;3
61;2
62;3
48;2
52;3
25;3
35;2
18;3
47;4
37;3
52;4
46;4
32;3
23;4
79;3
90;3
65;4
52;3
68;3
46;3
58;1
48;3
23;2
65;3
37;3
68;2
28;3
62;2
29;3
42;3
52;3
38;3
23;2
62;2
28;4
67;4
56;3
29;3
42;3
65;3
42;3
63;3
47;3
18;3
28;3
52;3
53;2
28;3
59;3
25;4
62;3
60;4
49;3
27;4
41;3
61;2
35;3
39;4
21;4
21;3
33;3
27;3
50;3
43;3
55;3
21;3
38;2
77;1
24;2
57;4
54;4
59;3
55;3
29;3
50;3
52;3
33;3
71;2
44;3
53;3
38;3
18;3
48;3
20;3
68;2
66;3
17; 
53;2
32;3
27;4
42;4
38;4
59;3
26;2
47;3
77;1
51;3
19;4
25;3
51;2
24;4
61;3
69;3
63;3
43;3
31;3
19;4
25;4
48;4
64;3
54;2
73;4
40;3
22;1
61;4
37;2
26;9
58;3
37;3
58;1
43;3
37;2
51;4
70;9
42;9
29;3
67;4
45;9
28;9
39;2
43;2
79;2
23;3
56;3
40;4
53;4
50;3
55;3
16; 
70;3
25;3
23;9
49;4
38;3
24;3
33;1
57;3
48;3
65;3
45;3
66;3
50;2
26;4
22;3
36;3
51;2
39;3
51;3
28;3
49;3
23;2
86;9
61;3
24;4
55;3
29;2
57;3
49;3
59;3
60;9
29;3
21;3
78;3
27;3
86;9
75;9
45;3
45;3
20;2
35;3
63;3
56;4
27;3
65;4
32;9
20;3
54;3
51;3
44;2
31;2
59;3
23;3
28;4
51;2
43;3
60;9
34;3
46;3
16; 
25;3
56;2
16; 
47;2
64;1
40;2
27;9
25;2
26;3
51;2
54;9
43;2
18;3
25;3
50;2
39;2
23;3
28;2
17; 
54;2
68;1
70;2
17; 
52;3
27;9
28;2
42;3
49;2
71;3
29;2
30;3
36;3
54;3
42;1
56;2
24;4
63;3
17; 
68;2
34;3
30;3
34;4
67;4
77;4
22;4
49;4
52;4
75;3
34;4
58;3
62;3
50;4
22;4
42;4
68;3
39;4
35;1
19;9
